launch_date,store_code,store_name,total_order,page,row_index,,ETL_Flag,Near to
17/06/23,T697,Yendada,104,33,27,,,
09/05/23,T704,Candolim Goa,320,33,29,,,
19/06/23,T712,Thudiyalur,130,33,31,,,
30/07/23,T717,Ranchi Lalpur,146,33,33,,,
24/06/23,T718,Hojai Assam,188,33,35,,,
17/06/23,T719,Chandivali Mumbai,143,33,37,,,
14/08/23,T727,Nagpur Dharampeth,402,33,39,,,
20/08/23,T736,Chandigarh Sector,161,33,41,,,
11/11/23,T770,Kolkata Newtown,456,33,43,,,
31/08/23,T792,Shimla Himanchal,252,33,45,,,
31/07/23,T800,Bangalore,127,33,47,,,
11/11/23,T809,Odisha Bhadrak,265,33,49,,,
30/08/23,T820,Ahmednagar,566,33,51,,,
30/08/23,T821,Ahmednagar,272,33,53,,,
30/08/23,T822,Ahmednagar Savedi,328,34,2,,,
29/11/23,T824,Khammam,12,34,4,,,
11/08/23,T840,Pune Mhalunge,328,34,6,,,
31/08/23,T847,Mumbai Marol,246,34,8,,,
23/09/23,T850,Mumbai Mahim,281,34,10,,,
22/08/23,T851,Malad West 2,297,34,12,,,
13/10/23,T876,Mumbai Goregaon,321,34,14,,,
20/10/23,T893,Mumbai Borivali,221,34,16,,,
28/08/23,T894,Darbhanga,50,34,18,,,
20/12/23,T905,Palampur HP,242,34,20,,,
31/01/24,T916,Calicut Malaparamba,283,34,22,,,
11/11/23,T933,"Silvasa, Gujara",27,34,24,,,
04/01/24,T938,Mangalagiri,267,34,26,,,
07/11/23,T939,Surat Citylight,178,34,28,,,
19/04/24,T941,MP Khandwa,280,34,30,,,
10/03/24,T951,Girgaon Marine,147,34,32,,,
11/11/24,T974,Surat Adajan,102,34,34,,,
27/12/23,T981,Bangaore KR Puram,171,34,36,,,
30/10/23,T986,Ghaziabad Wave,292,34,38,,,
22/07/20,TS49,Tumbledry Gwalior,336,34,40,,,
24/02/25,TS73,Tumbledry Sec,359,34,42,,,
28/01/21,TS84,Tumbledry,219,34,44,,,
29/08/25,A718,CDA Cuttack,92,34,46,,,
31/10/25,A973,VIP Colony Raipur,91,34,48,,,
26/09/25,A935,PM PALEM VIZAG,117,34,50,,,
13/08/25,C010,Defence Colony,155,34,52,,,
03/01/22,T210,Chhatarpur Delhi,341,34,54,Valid,FALSE,
17/09/23,T992,Coco Warehouse,1195,35,3,,,
23/10/20,TS71,Hauz Khas Delhi,151,35,5,Valid,FALSE,
09/10/20,TS74,NFC Delhi,463,35,7,Valid,FALSE,
13/10/20,TS75,Greater Kailash,102,35,9,,,
27/10/20,TS81,Vasant Kunj Delhi,342,35,11,Valid,FALSE,
19/11/20,TS86,Saket Delhi,110,35,13,Valid,FALSE,
17/10/25,A861,Khalilabad UP,160,35,15,,,
31/03/25,T432,Ashiyana Lucknow,264,35,17,,,
26/09/25,A862,Phulbani Town,142,35,19,,,
29/09/25,A887,Kathitand Ranchi,173,35,21,,,
11/10/25,A927,Banka Bihar,242,35,23,,,
27/09/25,A771,Naraina Vihar,94,35,25,,,
30/10/25,A851,Behala,53,35,27,,,
07/09/25,A499,Badlapur,81,35,29,,,
31/08/25,A943,Colaba Maharashtra,48,35,31,,,
01/11/25,T672,Bandra East Mumbai,261,35,33,,,
28/10/25,A866,Modipuram Meerut,172,35,35,,,
03/11/25,A899,Mainpuri UP,98,35,37,,,
27/09/25,A997,Kankarkheda Meerut,155,35,39,,,
15/12/23,A107,Eldeco Studio,194,35,41,,,
02/11/24,A613,Rajouri Garden,84,35,43,,,
06/06/25,A892,Sector 133 COCO,219,35,45,,,
17/06/25,A913,15A Noida COCO,172,35,47,,,
06/10/21,T165,Rajouri Dark Store,252,35,49,,,
09/10/21,T166,Janakpuri Delhi,234,35,51,Valid,TRUE,UN3668
19/04/19,TS1,Sector 46 Noida,786,35,53,,,
09/12/21,TS27,Punjabi Bagh Delhi,229,36,2,Valid,TRUE,KN3817
10/02/21,TS32,Sec 50 Noida,414,36,4,,,
20/06/19,TS8,tumbledry,520,36,6,,,
29/11/20,TS87,Gejha Warehouse,545,36,9,,,
04/11/25,A986,Katol Maharashtra,91,36,11,,,
27/08/25,A837,Nanded 1,138,36,13,,,
03/11/25,A956,Dhule Maharashtra,27,36,15,,,
31/10/25,T429,Hinjewadi Phase,1,36,17,,,
13/10/25,A819,Dharapuram,75,36,19,,,
18/10/25,A992,Ambattur Chennai,63,36,21,,,
13/09/25,A625,Perundurai Tamil,104,36,23,,,
11/11/25,A926,Besant Nagar,24,36,25,,,
20/01/24,A015,Kullu Himachal,255,36,27,,,
24/01/24,A031,Palakkad Shoranur,289,36,29,,,
07/04/25,A036,Hyderabad Uppal,127,36,31,,,
26/02/24,A056,Manali Ranghri,101,36,33,,,
30/03/24,A063,Bangalore Hennur,183,36,35,,,
18/03/24,A064,Bangalore Electronic,202,36,37,,,
30/05/24,A075,Kolkata Sonarpur,169,36,39,,,
30/03/24,A087,Rajkot Bhaktinagar,52,36,41,,,
30/03/24,A088,Rajkot Amin Marg,463,36,43,,,
30/03/24,A089,Rajkot Vavdi,31,36,45,,,
30/03/24,A090,Rajkot Ranchhod,103,36,47,,,
30/03/24,A091,Rajkot Mota Mava,63,36,49,,,
30/03/24,A092,Rajkot Sadhu,76,36,51,,,
28/04/24,A122,Srinagar Hyderpora,220,36,53,,,
10/07/24,A128,Durgapur 2 Banachity,172,37,2,,,
28/03/24,A130,Pune Talegaon,22,37,4,,,
15/03/24,A145,Hapur,71,37,6,,,
16/05/24,A146,Ranaghat Nadia,353,37,8,,,
16/05/24,A153,Hyderabad,148,37,10,,,
23/03/24,A159,Dehradun Vikas,104,37,12,,,
21/03/24,A165,Mumbai New,181,37,14,,,
30/09/24,A204,Darjeeling Chowk,263,37,16,,,
15/05/24,A213,Dalhousie Himachal,84,37,18,,,
11/07/24,A232,Jalpaiguri West,195,37,20,,,
29/06/24,A233,Howrah Ananya,369,37,22,,,
31/03/25,A263,Bansilal Aurangabad,125,37,24,,,
17/05/25,A473,KARJAT,86,37,26,,,
23/12/24,A495,Nagpur Mihan,158,37,28,,,
22/10/24,A506,Bhimtal Uttrakhand,179,37,30,,,
14/07/25,A521,Bomdila,74,37,32,,,
13/05/25,A586,Jawahar Nagar,267,37,34,,,
11/03/25,A591,PILIBHIT UP,110,37,36,,,
11/03/25,A609,T Nagar Chennai,272,37,38,,,
03/02/25,A610,MVP Colony,131,37,40,,,
28/02/25,A611,Latur Maharashtra,229,37,42,,,
27/05/25,A629,Sapna Sangeeta,151,37,44,,,
27/02/25,A633,Govind Nagar,166,37,46,,,
08/04/25,A655,Malabar Hill Mumbai,94,37,48,,,
30/03/25,A680,Khopoli Maharashtra,115,37,50,,,
26/05/25,A692,Roha Maharashtra,102,37,52,,,
20/06/25,A782,Shamshabad,149,37,54,,,
23/06/22,T175,Sahakar Nagar,207,38,3,,,
13/08/22,T188,Mirzapur,292,38,5,,,
11/03/22,T199,Sector 14 Hisar,125,38,7,,,
31/08/22,T219,Bettiah Bihar,407,38,9,,,
10/06/22,T228,Sawarkar Nagar,91,38,11,,,
17/05/24,T237,Mansarovar Jaipur,196,38,13,,,
30/06/22,T248,Boro Bazar,204,38,15,,,
21/06/22,T256,Khurja Uttar Pradesh,279,38,17,,,
30/07/22,T268,VIP ROAD ITANAGAR,105,38,19,,,
11/07/22,T269,Haridwar Road,157,38,21,,,
11/07/22,T272,Rajajipuram Lucknow,173,38,23,,,
30/09/22,T279,Behala Kolkata,139,38,25,,,
19/07/22,T286,Naharlagun AP,152,38,27,,,
14/08/22,T294,Dera Bassi Punjab,153,38,29,,,
19/11/22,T305,Yelahanka 1,42,38,31,,,
30/11/22,T337,Matigara Siliguri,113,38,33,,,
28/12/22,T340,Panayapilly Fortkochi,40,38,35,,,
28/09/22,T343,North Lakhimpur,100,38,37,,,
30/08/22,T346,Nellore,56,38,39,,,
15/09/22,T354,Freeganj Ujjain,415,38,41,,,
30/09/22,T355,NIBM Pune,120,38,43,,,
29/09/22,T361,Kwakeithel Imphal,133,38,45,,,
28/02/23,T368,Sholinganallur,73,38,47,,,
09/10/22,T383,Rohtak Model,179,38,49,,,
25/11/22,T388,Mansarovar 2,55,38,51,,,
31/08/22,T389,Science City,64,38,53,,,
21/10/22,T399,Barewal Road,205,39,2,,,
20/11/22,T400,Banda,240,39,4,,,
30/01/23,T409,Ashok Marg Nashik,186,39,6,,,
28/12/22,T417,Kanjikuzhi Kottayam,34,39,8,,,
14/03/23,T434,Mallampet,31,39,10,,,
15/03/23,T470,R S Puram,93,39,12,,,
08/11/22,T489,Miyapur Hyderabad,183,39,14,,,
27/03/23,T500,Kenyapatty Nagaon,146,39,16,,,
28/01/23,T537,Tadepalli Andhra,34,39,18,,,
31/01/23,T561,Nabha,178,39,20,,,
27/04/23,T563,Bagalur Bangalore,63,39,22,,,
31/03/23,T590,TK Street Tirupati,206,39,24,,,
23/02/23,T592,Airport Road Indore,152,39,26,,,
17/04/23,T602,Birla Compund,99,39,28,,,
30/04/23,T614,Bhadohi,188,39,30,,,
21/05/23,T638,Udhampur Jammu,65,39,32,,,
29/05/23,T647,Habra West Bengal,233,39,34,,,
09/04/23,T648,Arvi Maharashtra,184,39,36,,,
30/04/23,T673,Kapesaya Begusarai,186,39,38,,,
21/07/23,T679,Vasai Mumbai,208,39,40,,,
03/06/23,T689,Phursungi Pune,217,39,42,,,
27/04/23,T705,Uttam Nagar Ujjain,84,39,44,,,
26/06/23,T724,Vijay Nagar Jabalpur,212,39,46,,,
28/08/23,T725,Assam Sonari,100,39,48,,,
18/08/23,T817,Vadodara Gotri,50,39,50,,,
31/08/23,T837,Bangalore,116,39,52,,,
30/09/23,T839,MP Singrauli,150,39,54,,,
29/03/24,T841,Kolkata Gopalpur,193,40,3,,,
17/04/24,T848,Coimbatore Sitra,320,40,5,,,
29/01/24,T891,Kannur Payyannur,178,40,7,,,
16/12/23,T901,Purulia,248,40,9,,,
28/10/23,T904,Noida Sector 25,187,40,11,,,
21/10/23,T908,Bangalore,168,40,13,,,
13/01/24,T924,Jamshedpur Telco,435,40,15,,,
02/12/23,T969,Mumbai Thane,53,40,17,,,
25/01/21,TS67,Tumbledry,175,40,19,,,
28/01/24,A054,Ghaziabad Siddharth,178,40,21,,,
07/02/24,A195,Kolkata Paikpara,2,40,23,,,
23/03/24,A202,Varanasi Chitaipur,169,40,25,,,
15/05/24,A264,Mumbai Deonar,496,40,27,,,
26/08/24,A347,Greater Noida,2,40,29,,,
15/10/24,A509,Yamunanagar,293,40,31,,,
30/12/24,A537,Shuklaganj Unnao,246,40,33,,,
28/11/24,A594,Kurukshetra Haryana,161,40,35,,,
07/07/25,A698,LALARPURA JAIPUR,147,40,37,,,
23/04/24,B001,Udaipur,86,40,39,,,
03/04/24,B002,Delhi Ashok Vihar,85,40,41,Valid,TRUE,KN3817
09/08/24,B010,Jaipur Jagatpura,140,40,43,,,
11/04/25,B016,Gaya Bihar CC,86,40,45,,,
11/04/25,B017,Manpur Gaya,41,40,47,,,
06/03/25,B018,CC Kalyanpur,88,40,49,,,
28/10/25,B033,Pragati Nagar,36,40,51,,,
01/04/21,T112,TumbleDry Prayagraj,433,40,53,,,
03/06/21,T126,Tumbledry Amritsar,211,41,2,,,
26/07/21,T130,Tumbledry Jubilee,325,41,4,,,
25/06/21,T139,Tumbledry,317,41,6,,,
24/07/21,T144,Tumbledry,181,41,8,,,
27/07/21,T148,Tumbledry Nanded,227,41,10,,,
10/09/21,T151,Tumbledry Faridabad,270,41,12,,,
08/09/21,T153,Tumbledry Srinagar,211,41,14,,,
23/09/21,T155,Shalimar Bagh,158,41,16,,,
10/11/21,T163,Tumbledry Shyam,280,41,18,,,
08/04/22,T169,Nizampet Hyderabad,304,41,20,,,
01/12/21,T172,Tumbledry,309,41,22,,,
25/11/21,T177,Tumbledry Almora,242,41,24,,,
24/02/22,T200,Paikpara Kolkata,180,41,26,,,
09/05/22,T206,Civil Lines Hardoi,311,41,28,,,
17/03/22,T209,Lanka Varanasi,313,41,30,,,
30/06/22,T213,Jhansi,383,41,32,,,
19/04/22,T225,Santoshpur Kolkata,94,41,34,,,
01/06/22,T230,Tollygunge Kolkata,208,41,36,,,
23/06/22,T231,Mate Square Nagpur,310,41,38,,,
29/03/22,T235,Sigra Varanasi,340,41,40,,,
30/06/22,T244,Salt lake 2 Kolkata,199,41,42,,,
09/05/22,T251,Pal Surat,191,41,44,,,
02/06/22,T260,Kumhrar Patna,465,41,46,,,
20/07/22,T270,Raza Bazar Patna,211,41,48,,,
15/09/22,T271,Boring Road Patna,487,41,50,,,
25/07/22,T276,Park Circus Kolkata,336,41,52,,,
07/08/22,T284,Sector 9 Karnal,630,41,54,,,
07/08/22,T289,Civil Lines Prayagraj,318,42,3,,,
22/08/22,T293,Hasthampatti,203,42,5,,,
26/08/22,T296,Kankurgachi Kolkata,65,42,7,,,
31/08/22,T299,Yelenahalli Bangalore,98,42,9,,,
03/08/22,T301,Jagatpura Jaipur,248,42,11,,,
10/09/22,T303,Kohima Nagaland,261,42,13,,,
10/08/22,T314,Rajeev Nagar,227,42,15,,,
31/08/22,T316,Swarn Jayanti,212,42,17,,,
02/08/22,T331,Sector 19 B Dwarka,181,42,19,,,
11/09/22,T339,Hyderabad Kokapet,260,42,21,,,
10/09/24,T344,Rajajinagar,211,42,23,,,
12/08/22,T347,Prince Anwar,285,42,25,,,
30/09/22,T357,Omega 1 Greater,270,42,27,,,
15/10/22,T358,Gonda,412,42,29,,,
18/10/22,T360,Narsingi Hyderabad,225,42,31,,,
03/09/22,T363,Gaya Bihar,277,42,33,,,
14/09/22,T390,Kalyanpur Kanpur,441,42,35,,,
31/10/22,T395,Annapurna Road,238,42,37,,,
12/10/22,T401,Mandi,252,42,39,,,
10/10/22,T437,Phulwari Patna,378,42,41,,,
22/02/23,T441,West Fort Thrissur,281,42,43,,,
04/02/23,T449,Vijayanagar,303,42,45,,,
12/12/22,T451,Narmada Road,298,42,47,,,
11/11/22,T453,Konankunte,142,42,49,,,
31/12/22,T462,Khandgiri,374,42,51,,,
16/01/23,T463,Jhusi Prayagraj,245,42,53,,,
18/12/22,T498,C V Raman Nagar,273,43,2,,,
05/01/23,T499,Kasavanahalli,384,43,4,,,
07/11/22,T504,GTB Nagar Jalandhar,230,43,6,,,
30/11/22,T505,Kormangala,157,43,8,,,
20/03/23,T531,Hulimavu Bangalore,223,43,10,,,
06/02/23,T532,DLF Valley Panchkula,248,43,12,,,
30/05/23,T534,Mylapore Chennai,208,43,14,,,
13/02/23,T558,Powai Mumbai,279,43,16,,,
05/03/23,T613,Vikhroli Mumbai,220,43,18,,,
30/05/23,T621,Fatehabad Road,719,43,20,,,
31/03/23,T632,Brahmpura,278,43,22,,,
31/03/23,T634,Sobhagpura Udaipur,194,43,24,,,
14/06/23,T645,Bandra West Mumbai,158,43,26,,,
12/05/23,T657,Swarn Nagari,290,43,28,,,
21/07/23,T662,Kanpur Gumti,5,43,30,,,
23/05/23,T683,Jaisalmer Rajasthan,338,43,32,,,
30/06/23,T701,Chinnakada Kollam,398,43,34,,,
03/05/23,T726,Orderly Bazaar,294,43,36,,,
19/05/23,T739,NIT Faridabad,34,43,38,,,
19/07/23,T757,Bangalore,312,43,40,,,
28/03/24,T762,Bangalore,49,43,42,,,
29/06/23,T772,Trikuta Nagar,248,43,44,,,
17/02/24,T776,Bangalore,144,43,46,,,
16/02/24,T777,Bangalore,95,43,48,,,
17/02/24,T778,Bangalore,182,43,50,,,
24/11/23,T935,Bangalore,159,43,52,,,
20/10/23,T957,Varanasi Paharia,148,43,54,,,
28/09/23,T994,Varanasi Lanka,154,44,3,,,
01/08/19,TS11,tumbledry Dwarka,136,44,5,,,
03/08/19,TS15,tumbledry Sec,357,44,7,,,
12/09/19,TS16,TMBL Gaur City,296,44,9,,,
28/08/19,TS3,tumbledry Faridabad,366,44,11,,,
11/01/20,TS30,tumbledry Faridabad,279,44,13,,,
28/06/20,TS34,Tumbledry,259,44,15,,,
22/08/19,TS4,tumbledry,332,44,17,,,
23/07/20,TS42,Tumbledry Agartala,209,44,19,,,
12/06/20,TS47,Tumbledry Lalbagh,182,44,21,,,
24/08/19,TS5,tumbledry Gokhale,186,44,23,,,
28/03/21,TS99,Tumbledry Rudrapur,270,44,25,,,
29/07/25,A831,Nere Pune,145,44,27,,,
06/11/25,A873,Akola 2 Maharashtra,3,44,29,,,
31/08/25,T356,Undri Pune,144,44,31,,,
16/09/25,A898,Bhind MP,207,44,33,,,
01/10/25,C005,Morena MP,95,44,35,,,
31/10/25,A181,Kanpur New Civil,244,44,37,,,
19/09/25,A977,Line Par Moradabad,141,44,39,,,
16/01/24,A057,Ghaziabad Shastri,73,44,41,,,
29/02/24,A082,Hyderabad,154,44,43,,,
29/05/24,A114,Noida Sector 150,100,44,45,,,
19/02/24,A162,Mumbai Bhandup,255,44,47,,,
29/02/24,A222,Sector 1 Greater,226,44,49,,,
06/04/24,A227,Kerala Kazhakoottam,91,44,51,,,
15/04/25,A745,Dhankot CC Haryana,94,44,53,,,
30/04/24,B004,Noida Sector 75,224,45,2,,,
28/05/24,B005,Bihar Katihar CC,224,45,4,,,
22/07/24,B006,Pune Amanora,136,45,6,,,
31/07/24,B008,Thane Dhakoli,210,45,8,,,
30/09/24,B011,Rajahmundry,112,45,10,,,
28/12/24,B013,Lulu Mall Lucknow,98,45,12,,,
12/07/25,B019,Bhagalpur CC,40,45,14,,,
28/03/25,B020,Mumbai Ghatkopar,121,45,16,,,
30/05/25,B022,Wadgaon Sheri,182,45,18,,,
14/07/25,B023,Anna Nagar CC,114,45,20,,,
22/08/25,B024,Nallagandla,55,45,22,,,
02/09/25,B028,Mulund East Mumbai,65,45,24,,,
10/06/21,T100,Tumbledry Mulund,342,45,26,,,
06/03/21,T102,Tumbledry,148,45,28,,,
01/04/21,T109,Tumbledry Bhagalpur,573,45,30,,,
10/04/21,T113,Tumbledry Patia,400,45,32,,,
28/06/21,T118,Tumbledry Kharadi,605,45,34,,,
29/04/21,T123,Tumbledry Bomikhal,196,45,36,,,
18/03/21,T124,Viman Nagar,281,45,38,,,
23/07/21,T131,Tumbledry Baner,278,45,40,,,
05/09/21,T134,Tumbledry Vaishali,398,45,42,,,
19/06/21,T136,Tumbledry Thane,800,45,44,,,
23/07/21,T138,Tumbledry Anna,246,45,46,,,
31/07/21,T145,Tumbledry Amanora,342,45,48,,,
22/12/21,T146,Tumbledry Meadows,390,45,50,,,
19/07/21,T147,Tumbledry Pune,274,45,52,,,
04/04/22,T154,Madhu Vihar Delhi,46,45,54,Valid,TRUE,Vishal Home
25/10/21,T174,Tumbledry,153,46,3,,,
02/12/21,T181,Tumbledry East,123,46,5,,,
15/12/21,T183,Tumbledry JP,271,46,7,,,
17/01/22,T205,Gorakhpur Road,576,46,9,,,
29/09/23,T211,Wagholi Pune,209,46,11,,,
24/01/22,T218,Kothrud Pune,298,46,13,,,
11/03/22,T223,Beeramguda,410,46,15,,,
25/08/22,T242,Ashok Nagar Ranchi,278,46,17,,,
14/08/22,T246,IRC Village,128,46,19,,,
30/06/22,T250,BJB Nagar,155,46,21,,,
27/06/22,T261,HSR Layout,299,46,23,,,
10/06/22,T262,Solan Himanchal,495,46,25,,,
31/07/22,T275,Hanamkonda,186,46,27,,,
29/08/22,T282,Whitefield Bangalore,147,46,29,,,
24/06/22,T287,Moradabad Uttar,401,46,31,,,
20/07/22,T295,Ballygunge Kolkata,322,46,33,,,
14/08/22,T308,Sanjaynagar,316,46,35,,,
29/05/22,T311,Magarpatta Pune,286,46,37,,,
22/07/22,T322,Swaroop Nagar,516,46,39,,,
10/09/22,T325,Hyderabad Kondapur,604,46,41,,,
31/07/22,T332,Bavdhan Pune,304,46,43,,,
30/11/22,T334,Banshankari,223,46,45,,,
22/08/22,T338,Prabhadevi Mumb,286,46,47,,,
12/09/22,T353,Vellayambalam,399,46,49,,,
02/11/22,T408,Shanti Nagar,247,46,51,,,
07/08/22,T410,Aundh Pune,259,46,53,,,
08/10/22,T412,Dwarka Expressway,432,47,2,,,
14/10/22,T415,Chembur Mumbai,253,47,4,,,
30/11/22,T421,Vanasthalipuram,333,47,6,,,
31/10/22,T444,Porvorim Goa,414,47,8,,,
19/11/22,T476,Goregaon East,386,47,10,,,
22/11/22,T487,Hebbal Bangalore,167,47,12,,,
05/12/22,T490,Ghatkopar East,410,47,14,,,
13/01/23,T509,Horamavu Bangalore,267,47,16,,,
13/02/23,T514,Rajahmundry,446,47,18,,,
22/02/23,T530,Pachalam Kochi,164,47,20,,,
23/12/22,T548,Wakad Pune,317,47,22,,,
13/02/23,T556,DLF Gachibowli,258,47,24,,,
19/02/23,T560,Katihar Bihar,331,47,26,,,
15/12/22,T566,Nanakramguda,223,47,28,,,
03/02/23,T577,Sewri Cotton Green,233,47,30,,,
04/03/23,T594,Sector 14 Gurgaon,226,47,32,,,
15/04/23,T599,Kazhakoottam,239,47,34,,,
28/02/23,T630,Govind Nagar,375,47,36,,,
23/03/23,T635,Chennai Velachery,360,47,38,,,
23/03/23,T665,Nehru Nagar,197,47,40,,,
27/02/23,T666,Thiruvananthapuram,332,47,42,,,
13/03/23,T668,Koregaon Park,301,47,44,,,
30/06/23,T783,Raj Nagar Ghaziabad,259,47,46,,,
21/07/19,TS10,tumbledry Sector,1,47,48,,,
28/07/19,TS13,tumbledry Sec,424,47,50,,,
16/10/19,TS20,tumbledry Noida,547,47,52,,,
23/11/19,TS23,TMBL Faizabad,491,47,54,,,
25/02/20,TS28,Tumbledry Betihata,231,48,3,,,
02/09/22,TS31,tumbledry G Noida,508,48,5,,,
29/01/20,TS36,"Old Rajender Nagar, Delhi",191,48,7,Valid,FALSE,
21/08/20,TS43,Tumbledry Vashi,417,48,9,,,
01/06/22,TS48,South CIty Gurgaon,269,48,11,,,
18/03/20,TS50,Tumbledry Dehradun,185,48,13,,,
23/08/20,TS56,Tumbledry,312,48,15,,,
04/08/20,TS58,Tumbledry Noida,378,48,17,,,
23/08/20,TS60,Tumbledry Madhapur,426,48,19,,,
05/09/20,TS63,Tumbledry Haldwani,583,48,21,,,
19/10/20,TS64,Tumbledry Wanowrie,264,48,23,,,
24/10/20,TS68,Tumbledry Kavi,604,48,25,,,
02/11/20,TS70,Tumbledry Ghansoli,452,48,27,,,
25/10/20,TS72,Tumbledry Sec,276,48,29,,,
25/12/20,TS88,Surajmal Vihar,65,48,31,,,
24/02/21,TS89,Tumbledry Gomti,175,48,33,,,
30/01/21,TS90,Tumbledry Sector,125,48,35,,,
12/02/22,TS92,TD Rajnagar Ext,326,48,37,,,
19/09/25,A841,Sector Gandhinagar,188,48,39,,,
09/09/25,A925,Gandhidham 1,77,48,41,,,
17/11/25,A889,Mcleodganj,4,48,43,,,
19/10/25,C007,Sangrur Punjab,90,48,45,,,
